"filename", "language", "XML", "JSON", "C#", "Properties", "comment", "blank", "total"
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\BLEntities\BLOrder.cs", "C#", 0, 0, 15, 0, 0, 2, 17
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\BLEntities\BLProduct.cs", "C#", 0, 0, 14, 0, 0, 2, 16
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\BLEntities\BLRoles\BLAdmin.cs", "C#", 0, 0, 10, 0, 0, 2, 12
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\BLEntities\BLRoles\BLGuest.cs", "C#", 0, 0, 9, 0, 0, 2, 11
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\BLEntities\BLRoles\BLRegisteredUser.cs", "C#", 0, 0, 9, 0, 0, 2, 11
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\BLEntities\BLRoles\BLUser.cs", "C#", 0, 0, 20, 0, 0, 2, 22
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\BLL.csproj", "XML", 15, 0, 0, 0, 0, 6, 21
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\Exceptions\ValidateException.cs", "C#", 0, 0, 22, 0, 0, 5, 27
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\Interfaces\IOrderService.cs", "C#", 0, 0, 21, 0, 0, 3, 24
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\Interfaces\IProductService.cs", "C#", 0, 0, 22, 0, 0, 2, 24
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\Interfaces\IUserService.cs", "C#", 0, 0, 24, 0, 0, 2, 26
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\Services\OrderService.cs", "C#", 0, 0, 181, 0, 61, 13, 255
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\Services\ProductService.cs", "C#", 0, 0, 161, 0, 62, 13, 236
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\Services\UserService.cs", "C#", 0, 0, 236, 0, 85, 17, 338
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\bin\Debug\netcoreapp3.1\BLL.deps.json", "JSON", 0, 72, 0, 0, 0, 0, 72
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\bin\Debug\netcoreapp3.1\BLL.xml", "XML", 284, 0, 0, 0, 0, 1, 285
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\bin\Debug\netcoreapp3.1\DAL.xml", "XML", 241, 0, 0, 0, 0, 1, 242
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\obj\BLL.csproj.nuget.dgspec.json", "JSON", 0, 128, 0, 0, 0, 0, 128
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\obj\BLL.csproj.nuget.g.props", "XML", 15, 0, 0, 0, 0, 0, 15
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\obj\BLL.csproj.nuget.g.targets", "XML", 2, 0, 0, 0, 0, 0, 2
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 1, 1, 5
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\obj\Debug\netcoreapp3.1\BLL.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 10, 5, 24
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\obj\Debug\netcoreapp3.1\BLL.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\obj\Release\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 1, 1, 5
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\obj\Release\netcoreapp3.1\BLL.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 10, 5, 24
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\BLL\obj\project.assets.json", "JSON", 0, 272, 0, 0, 0, 0, 272
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShopTest\ConsoleEShopTest.csproj", "XML", 16, 0, 0, 0, 0, 6, 22
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShopTest\Tests.cs", "C#", 0, 0, 176, 0, 0, 30, 206
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShopTest\obj\ConsoleEShopTest.csproj.nuget.dgspec.json", "JSON", 0, 266, 0, 0, 0, 0, 266
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShopTest\obj\ConsoleEShopTest.csproj.nuget.g.props", "XML", 25, 0, 0, 0, 0, 0, 25
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShopTest\obj\ConsoleEShopTest.csproj.nuget.g.targets", "XML", 8, 0, 0, 0, 0, 0, 8
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShopTest\obj\Debug\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 1, 1, 5
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShopTest\obj\Debug\netcoreapp3.1\ConsoleEShopTest.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 10, 5, 24
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShopTest\obj\Debug\netcoreapp3.1\ConsoleEShopTest.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 3, 0, 1, 4
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShopTest\obj\Release\netcoreapp3.1\.NETCoreApp,Version=v3.1.AssemblyAttributes.cs", "C#", 0, 0, 3, 0, 1, 1, 5
"c:\Users\Кристина\Desktop\ConsoleEShopMultiLayer\ConsoleEShopTest\obj\Release\netcoreapp3.1\ConsoleEShopTest.AssemblyInfo.cs", "C#", 0, 0, 9, 0, 10, 5, 24
